job_id	extension_id	method	timing_user	timing_system	timing_elapsed
63205765	4f1cd	glm_gp overdispersion = 0	255.789	34.035	287.04
63205765	4f1cd	glm_gp	703.897	47.942	747.961
63205765	4f1cd	glm_gp on disk	1448.517	83.672	1527.961
63205765	4f1cd	DESeq2 with glmGamPoi	789.26	76.547	863.636
63205765	4f1cd	edgeR	6765.976	176.088	4927.346
63205765	4f1cd	DESeq2	7359.575	206.545	7207.038
63205766	858a2	glm_gp overdispersion = 0	256.039	36.32	289.493
63205766	858a2	glm_gp	706.437	50.552	752.882
63205766	858a2	glm_gp on disk	1469.156	86.597	1551.116
63205766	858a2	DESeq2 with glmGamPoi	791.41	77.697	866.397
63205766	858a2	edgeR	6780.334	178.1	4944.411
63205766	858a2	DESeq2	7379.018	242.377	7252.576
63205767	8fa9a	glm_gp overdispersion = 0	254.912	32.865	284.772
63205767	8fa9a	glm_gp	702.534	45.431	743.496
63205767	8fa9a	glm_gp on disk	1456.081	72.484	1523.854
63205767	8fa9a	DESeq2 with glmGamPoi	789.536	78.506	865.225
63205767	8fa9a	edgeR	6773.795	169.191	4930.324
63205767	8fa9a	DESeq2	7364.675	210.685	7216.83
63205768	6ec94	glm_gp overdispersion = 0	219.948	19.39	236.673
63205768	6ec94	glm_gp	666.121	31.175	693.545
63205768	6ec94	glm_gp on disk	1455.157	56.168	1506.963
63205768	6ec94	DESeq2 with glmGamPoi	767.15	57.925	822.667
63205768	6ec94	edgeR	6766.479	129.562	4890.53
63205768	6ec94	DESeq2	7359.56	149.959	7149.282
63205769	5ca68	glm_gp overdispersion = 0	208.426	15.53	221.5
63205769	5ca68	glm_gp	643.22	26.934	666.409
63205769	5ca68	glm_gp on disk	1471.229	59.926	1527.111
63205769	5ca68	DESeq2 with glmGamPoi	761.139	60.196	819.179
63205769	5ca68	edgeR	6730.854	133.948	4867.43
63205769	5ca68	DESeq2	7261.841	157.731	7063.509
