gene	glm_gp	DESeq2	DESeq2_glmGamPoi	edgeR
gene_1	-4.076480477372149	-4.078837108684194	-4.077455772703711	-2.1629835271429165
gene_2	-100000000	NA	NA	-2.3025850929940495
gene_3	-100000000	NA	NA	-2.3025850929940495
gene_4	-7.302943212728094	-7.3685863636426925	-7.373969880110922	-2.298907714544608
gene_5	-100000000	NA	NA	-2.3025850929940495
gene_6	-3.8376514692435735	-4.237509736156667	-3.8527308661735873	-2.1849019707473993
gene_7	-8.55570618122346	-8.245573608940637	-8.530637966254234	-2.300229365404817
gene_8	-0.6457154483610216	-0.6469514420711314	-0.6455635415507183	-0.6533342480564955
gene_9	-1.8260842122976577	-1.8223042855397542	-1.8266514484845193	-1.4812976771134219
gene_10	-8.55570618122346	-8.512897958643014	-8.546209641767081	-2.301042414261948
gene_11	-0.8223152162875893	-0.8239947810419316	-0.8221029464432448	-0.7927399291604317
gene_12	-2.573895004922529	-2.602803647292436	-2.5767121963488004	-1.8409858246441524
gene_13	-8.555706181223464	-8.596597308922338	-8.559465289544908	-2.301314746229422
gene_14	-0.9873425688729472	-0.990949167483285	-0.9869976988821542	-0.9153147899498089
gene_15	-100000000	-14.66921641881656	-99999999.99999999	-2.3025850929940495
gene_16	-9.248853361783404	-8.99727264568189	-9.232811871723527	-2.3011967960517663
gene_17	-0.7441183680935279	-0.7500278269012246	-0.7433619698174453	-0.7242664274649429
gene_18	-3.6239458388780874	-3.632082232631248	-3.6245872320359607	-2.097375402477264
gene_19	-9.248853361783407	-9.208893962175212	-9.24325787687497	-2.3018166388324914
gene_20	-3.806750089041448	-3.7699037945780214	-3.806788168660841	-2.127543079583872
gene_21	-1.0964352307098455	-1.099829489194108	-1.0961377412748878	-0.9951346226906742
gene_22	-4.163429544690004	-4.151440403287469	-4.1654328495062956	-2.182518174461684
gene_23	-100000000	NA	NA	-2.3025850929940495
gene_24	-4.182206861991347	-4.165598043769645	-4.182731909852112	-2.1740269194020727
gene_25	-1.3078675258237256	-1.3082695334199137	-1.307824578864638	-1.151050416297348
gene_26	-4.282340772501313	-4.300319293566031	-4.281159310796574	-2.2029980721720426
gene_27	-2.678812929020619	-2.6692102406663545	-2.6780908159422667	-1.8605758730475213
gene_28	-100000000	NA	NA	-2.3025850929940495
gene_29	-4.478457931017149	-4.48059436493063	-4.485531753667351	-2.2306704347050648
gene_30	-1.7786280471461384	-1.7791991831784308	-1.778579897993417	-1.4460440991013896
gene_31	-7.16941182010357	-7.171162946081769	-7.170095925980036	-2.295460248569477
gene_32	-3.781764129759511	-3.7640563724603995	-3.7862674445065942	-2.1492995827486534
gene_33	-4.760038441020693	-4.760040971738736	-4.760032631368401	-2.235831959256325
gene_34	-0.6804762056578904	-0.6790076499922775	-0.6801375383874251	-0.677781320139872
gene_35	-8.555706181223462	-8.626602240919782	-8.579192288903089	-2.3017217379353774
gene_36	-8.150241073115298	-8.166540468442276	-8.169227202581917	-2.3006925083430168
gene_37	-100000000	NA	NA	-2.3025850929940495
gene_38	-0.30963049460107694	-0.31176632528281534	-0.30948751909509126	-0.3735092928774082
gene_39	-0.8301697526130396	-0.833914403717752	-0.8297532578094102	-0.7944981901299354
gene_40	-1.8524742067614612	-1.8500670836267492	-1.852790120199913	-1.4930359652513847
gene_41	-7.639415449349307	-7.67632012722374	-7.669703749017763	-2.29951085874455
gene_42	-2.826682906264416	-2.9434698755246935	-2.8308676528209125	-1.944141718962946
gene_43	-3.93832993902556	-3.9288145554842253	-3.93773631402609	-2.151308847528914
gene_44	-100000000	NA	NA	-2.3025850929940495
gene_45	-100000000	NA	NA	-2.3025850929940495
gene_46	-5.424289446207132	-5.42317402059692	-5.425585726582779	-2.266745947966503
gene_47	-2.168277959108221	-2.1713553040191553	-2.167983033990737	-1.646724549795783
gene_48	-100000000	NA	NA	-2.3025850929940495
gene_49	-100000000	-14.668929507219078	-99999999.99999999	-2.3025850929940495
gene_50	-2.232674451970178	-2.233140937113087	-2.2326500450072313	-1.6809061415199615
gene_51	-9.248853361783404	-9.51104996104256	-9.258312281770683	-2.3021244172074424
gene_52	-1.7525675851642013	-1.7444618010436794	-1.7537512119876497	-1.4457110509451452
gene_53	-4.371885344122932	-4.365786329820181	-4.375239944538404	-2.2138247218536438
gene_54	-100000000	NA	NA	-2.3025850929940495
gene_55	-2.6425588321835276	-2.663215185988261	-2.64401511474651	-1.8620443893448921
gene_56	-7.302943212728093	-7.337311005216925	-7.348472694562721	-2.298066870522257
gene_57	-5.8281376374062335	-5.838721137905878	-5.844937183653638	-2.2826571666053797
gene_58	-100000000	NA	NA	-2.3025850929940495
gene_59	-2.082275053597387	-2.08335988332785	-2.0821711945273313	-1.6099876473498629
gene_60	-2.1578778744356453	-2.152960137153301	-2.159024309865853	-1.658232231005676
gene_61	-7.457093892555351	-7.436371046606316	-7.434617418032741	-2.2971034861616815
gene_62	-4.442888235738594	-4.4367951054027275	-4.443026446584328	-2.204481003749306
