gene	glm_gp	DESeq2	DESeq2_glmGamPoi	edgeR
gene_1	2.028306014383928	1e-8	2.690977284241926	9.726706980678284
gene_2	0	NA	NA	33.37122715301817
gene_3	0	NA	NA	33.37122715301817
gene_4	95.72274127148067	1e-8	110.24060163486281	32.328879046773565
gene_5	0	NA	NA	33.37122715301817
gene_6	114.29373606108591	117.11478505794337	117.10650758511159	6.352233398746319
gene_7	2428.599234258023	1e-8	4568.229908418126	33.37122715301817
gene_8	0.024007118932164926	1e-8	0.02396599660180086	0.404460294268272
gene_9	0.20287167583999652	1e-8	0.21507042543859678	0.7925599826573915
gene_10	0	1e-8	1e-8	33.37122715301817
gene_11	0.03793290366324202	1e-8	0.03831449108940963	0.45783658738544797
gene_12	3.6043936556904823	1e-8	3.801444082740395	2.0240711705103833
gene_13	0	1e-8	1e-8	33.37122715301817
gene_14	0.1143796598378271	1e-8	0.11741243547189459	0.4783582860747073
gene_15	322.2213876896158	1e-8	358.57567342458765	31.931245279221578
gene_16	1638.883723487582	4164.208717385292	4285.359738933891	33.37122715301817
gene_17	0.1690556155592734	1e-8	0.18032790058706136	0.4621030337024702
gene_18	0.8699009786436752	1e-8	1.046615081445756	4.983382184718991
gene_19	3540.058570078781	1e-8	1e-8	33.37122715301817
gene_20	11.558311666036312	1e-8	11.939072897669496	4.801376492959775
gene_21	0.22038908167235588	1e-8	0.22652314525264441	0.5005617691741973
gene_22	4.420137948522132	26.316205851017266	26.3129726246599	9.12682905863846
gene_23	0	NA	NA	33.37122715301817
gene_24	6.987871333022051	1e-8	8.093264153518614	9.197917606114205
gene_25	0.2647163854150083	1e-8	0.2677383085232604	0.5823772210712344
gene_26	16.059617365217253	19.24743265819945	19.24577069726012	11.04258861989635
gene_27	3.305520622210838	1e-8	3.3108460627015264	1.786249559940047
gene_28	0	NA	NA	33.37122715301817
gene_29	4.323150805060133	1e-8	5.005492107597297	14.496522357226423
gene_30	0.028910609612507788	0.03770951436930338	0.03533967100539995	0.8654171479015584
gene_31	0	1e-8	1e-8	32.3149190356054
gene_32	3.060156567612644	3.2388085874422545	3.2386966649849627	6.720718415560862
gene_33	4.0871171772150925	1e-8	4.3870969987651005	14.752593518915564
gene_34	0.18563703491489214	0.19589498659089377	0.20131789829593358	0.4070495485831056
gene_35	0	1e-8	1e-8	33.19298861701712
gene_36	0	1e-8	1e-8	32.82023885078021
gene_37	0	NA	NA	33.37122715301817
gene_38	0.03264885429644786	1e-8	0.03241049219772621	0.3581560638826976
gene_39	0.23756648880570003	1e-8	0.2476631228459657	0.47384026345152086
gene_40	0.32093672324770123	1e-8	0.3206401742300289	0.9278066302113409
gene_41	0	1e-8	1e-8	33.04350888519982
gene_42	13.607715570619561	13.97720272887903	13.976524760542535	2.8252279647900695
gene_43	7.974134276977503	1e-8	8.107639128257263	7.899693692119716
gene_44	0	NA	NA	33.37122715301817
gene_45	0	NA	NA	33.37122715301817
gene_46	117.63024979114319	118.13965548995303	118.10527854593833	20.633576277427558
gene_47	0.9401216848212043	1e-8	0.97775163851054	1.0382173818941376
gene_48	0	NA	NA	33.37122715301817
gene_49	1414.884602679335	1e-8	1e-8	33.37122715301817
gene_50	0.1684372291658375	1e-8	0.17474224306035274	1.3367601019046724
gene_51	0	1e-8	1e-8	33.37122715301817
gene_52	0.5175267654294461	1e-8	0.5367128290573672	0.7675231312251057
gene_53	1.6385363412121416	1e-8	1.7115064648351848	11.440620883927028
gene_54	0	NA	NA	33.37122715301817
gene_55	3.7873177817347785	1e-8	3.861707414088625	2.023081134734722
gene_56	0	1e-8	1e-8	32.6941012004329
gene_57	18.025623567206008	1e-8	19.3334752172964	30.13448174921988
gene_58	0	NA	NA	33.37122715301817
gene_59	1.4423763171879367	1e-8	1.4435358424830782	1.196828048144411
gene_60	1.1737203249743215	1e-8	1.213200199712072	1.032406814810595
gene_61	0	1e-8	1e-8	32.594074715831404
gene_62	6.431881688739748	1e-8	7.222786662278793	11.71033338442449
gene_63	0.06490305503199764	0.07063987827176692	0.06846710850006538	0.23758815537043498
gene_64	4.924758392795776	1e-8	5.00999367148445	6.159942510664387
gene_65	0	NA	NA	33.37122715301817
gene_66	0.241648399470371	1e-8	0.24147492113329735	0.5259739002344884
gene_67	0	1e-8	1e-8	33.37122715301817
gene_68	0.1311246542340913	0.14312774211213658	0.14584563889181673	0.46752727346492534
gene_69	0.01742293642914334	0.020130378318291082	0.01895536065718236	0.2739458109164629
gene_70	0	1e-8	1e-8	32.00151293085205
gene_71	0.016609065378027137	1e-8	0.01683449017309802	0.4991625475613593
gene_72	5.757693829057883	1e-8	5.863331523628003	9.851327811969439
gene_73	0	NA	NA	33.37122715301817
gene_74	3.9920247327026366	1e-8	4.023109449520983	5.773467848699226
gene_75	0	NA	NA	33.37122715301817
gene_76	0.5793382612290918	0.607474202019847	0.6074705244256733	0.5032962601788545
gene_77	0	1e-8	1e-8	33.05760465930577
gene_78	0	1e-8	1e-8	33.37122715301817
gene_79	27984.3744546372	1e-8	20000	33.37122715301817
gene_80	0	1e-8	1e-8	32.86124043836326
gene_81	38.580150473390084	1e-8	38.74133743909849	31.10071620115049
gene_82	0	1e-8	1e-8	33.37122715301817
gene_83	3930.4535199060006	1e-8	1e-8	33.37122715301817
gene_84	0	NA	NA	33.37122715301817
gene_85	0	1e-8	1e-8	33.37122715301817
gene_86	0	NA	NA	33.37122715301817
gene_87	0	1e-8	1e-8	31.252068815166894
gene_88	12.208631546546606	1e-8	12.469179350314008	4.318974875606487
gene_89	289.5014217472114	1e-8	353.7169365897108	32.90630624918135
gene_90	0	NA	NA	33.37122715301817
gene_91	15470.644394172008	1e-8	1e-8	33.37122715301817
gene_92	0	NA	NA	33.37122715301817
gene_93	0	NA	NA	33.37122715301817
gene_94	0	NA	NA	33.37122715301817
gene_95	0	NA	NA	33.37122715301817
gene_96	6.774580523013431	6.9902493026572925	6.990166639539633	1.232770753708284
gene_97	0	NA	NA	33.37122715301817
gene_98	13.124698312048936	1e-8	13.178195476966525	30.382123782532428
gene_99	1.8223130787614856	1e-8	1.8845147575671244	1.317159303971992
gene_100	28.04467123303147	1e-8	28.731618788328365	29.937518167927937
gene_101	8.686964261357051	1e-8	9.89155083103967	10.87284545471374
gene_102	0	NA	NA	33.37122715301817
gene_103	0.15306012085985393	1e-8	0.15908933690051325	1.534671515665079
gene_104	0	1e-8	1e-8	31.361840815865392
gene_105	0	NA	NA	33.37122715301817
gene_106	27983.716573500635	2.2306530208872436e-5	20000	33.37122715301817
gene_107	0	NA	NA	33.37122715301817
gene_108	0	NA	NA	33.37122715301817
gene_109	7.236187833400601	1e-8	7.366992691233169	15.68912140168861
gene_110	0	1e-8	1e-8	33.37122715301817
gene_111	0.42350179052248	1e-8	0.46127675219726044	3.349323782861404
gene_112	0	1e-8	1e-8	33.37122715301817
gene_113	0	1e-8	1e-8	33.37122715301817
gene_114	15.916577645777664	1e-8	17.412488224385935	20.91695524084496
gene_115	0.9249398960306389	1e-8	0.9417987734045203	0.9328973909433756
gene_116	12.240893013219615	1e-8	14.611067974577878	30.814340387772916
gene_117	3.5271149331724314	1e-8	3.5862885928968926	1.506217902606435
gene_118	0.1313828164284589	1e-8	0.13674382018698297	0.3994333437864895
gene_119	0.07939009478193362	0.07640553437902406	0.07971719845632101	0.4339793005854842
gene_120	0.19483836238243757	1e-8	0.19726104133458253	1.4131187270046568
gene_121	9.721065927256118	1e-8	9.890777468119285	12.363718535710696
gene_122	52.05260006282701	1e-8	61.513534858014566	26.149600964036065
gene_123	0.3733374285806633	1e-8	0.38752692720290255	1.0847351570610795
gene_124	0	NA	NA	33.37122715301817
gene_125	0	NA	NA	33.37122715301817
gene_126	1.1606589672644383	1.1736806522993088	1.1736445434350398	0.9306235930608961
gene_127	0	NA	NA	33.37122715301817
gene_128	0	NA	NA	33.37122715301817
gene_129	0	NA	NA	33.37122715301817
gene_130	1693.7987753472964	1e-8	1e-8	33.37122715301817
gene_131	0.11258718155240355	1e-8	0.1136814871640113	0.45643247025695377
gene_132	0.14433740261985206	1e-8	0.14451790289396893	0.27859647343813915
gene_133	0	NA	NA	33.37122715301817
gene_134	0	1e-8	1e-8	33.37122715301817
gene_135	0	NA	NA	33.37122715301817
gene_136	46046.06286602136	20000	20000	33.37122715301817
gene_137	0	1e-8	1e-8	33.37122715301817
gene_138	0	NA	NA	33.37122715301817
gene_139	1.5773747094583692	1e-8	1.5921351521757137	0.49041773429500063
gene_140	0	1e-8	286.40522880000776	32.22169315859875
gene_141	0	1e-8	1e-8	32.24956291269734
gene_142	0	NA	NA	33.37122715301817
gene_143	1.0178167848172321	1e-8	1.068098068789799	1.3192988756128976
gene_144	2.920638298121549e-6	1e-8	1e-8	1.3119823134070658
gene_145	0.6962115409446301	1e-8	0.757002012238043	1.47638594346375
gene_146	0.16188799876494542	1e-8	0.16268782290705686	0.4876412475648323
gene_147	2.8013876979269514	1e-8	2.8364234256911147	1.6937625315403324
gene_148	0.3621584760065813	1e-8	0.363527786506204	0.5953763928560646
gene_149	0	NA	NA	33.37122715301817
gene_150	1.3770060137116227	1e-8	1.4067121338433903	10.5898312886626
gene_151	3.844316904356218e-6	1e-8	1e-8	0.5215605501428094
gene_152	0	NA	NA	33.37122715301817
gene_153	0.03642017893897041	0.03770951436930338	0.03959104264187867	0.6664431942955132
gene_154	73.30970784879197	73.36216537676204	73.35757085207034	6.242151823639669
gene_155	0	NA	NA	33.37122715301817
gene_156	0	NA	NA	33.37122715301817
gene_157	0	NA	NA	33.37122715301817
gene_158	0	1e-8	1e-8	33.37122715301817
gene_159	33516.86234751799	20000	20000	33.37122715301817
gene_160	0.8851811451742849	1e-8	0.9030248198118048	4.066469402730533
gene_161	0.5074705367549808	1e-8	0.5123745780899793	2.4069611389032897
gene_162	21.06151684928079	1e-8	21.378737022492242	30.979314315250907
gene_163	0.06151659109446782	1e-8	0.061480212208161494	0.4009435206428762
gene_164	0.18474841979406206	1e-8	0.18468391720345528	1.3177558761278265
gene_165	0	NA	NA	33.37122715301817
gene_166	0	NA	NA	33.37122715301817
gene_167	141.16589408074086	1e-8	144.61348869149785	31.803780693325127
gene_168	0	NA	NA	33.37122715301817
gene_169	0	1e-8	1e-8	33.37122715301817
gene_170	0	NA	NA	33.37122715301817
gene_171	0.29956542311704054	1e-8	0.30857844559313	4.268362011348572
gene_172	0	NA	NA	33.37122715301817
gene_173	0	1e-8	1e-8	33.37122715301817
gene_174	0.13687943352166698	1e-8	0.1391489622225362	1.133629551580345
gene_175	369.22304165488254	1e-8	411.2881280450945	32.18601604405228
gene_176	8.613078395417945	1e-8	9.400253162211898	11.352548463503528
gene_177	0	1e-8	1e-8	16.579243499449184
gene_178	0.05402631973701614	0.06682977675885998	0.06682315957295913	0.6514400728531331
gene_179	0	NA	NA	33.37122715301817
gene_180	0.06442843524925956	1e-8	0.08201036340911104	0.6686338732822474
gene_181	0.5535178829591136	1e-8	0.5909396371032146	8.871741085893914
gene_182	0.1714106355388077	1e-8	0.17314278849126324	1.8378097720201116
gene_183	0	NA	NA	33.37122715301817
gene_184	0	1e-8	1e-8	32.433532328717305
gene_185	248.0261114384969	1e-8	1e-8	33.038941708766025
gene_186	0.24823391658199898	1e-8	0.2482183815692686	1.6774287871991467
gene_187	0.5001823622755979	0.5090125157849661	0.5090028901315568	0.9526526034281716
gene_188	0	1e-8	1e-8	32.22274343788931
gene_189	0.06174400461990766	0.07063987827176692	0.06561996269674279	0.2633292991828859
gene_190	0.0803088452048555	1e-8	0.0807700205871811	0.6007967675693375
gene_191	36.596426315966625	1e-8	40.94487711560128	30.809159067984524
gene_192	0	1e-8	1974.2314877240854	33.37122715301817
gene_193	39.80834373465338	1e-8	49.20033656456443	30.261253368971854
gene_194	0.26921717965106956	1e-8	0.2797496031638548	1.050748194717799
gene_195	2.4098701087688	1e-8	2.484616592309673	23.134902208461526
gene_196	0	1e-8	1e-8	33.37122715301817
gene_197	0	1e-8	1e-8	33.37122715301817
gene_198	0.5516274463126846	1e-8	0.5676449560882286	0.8621870003515135
gene_199	0	NA	NA	33.37122715301817
gene_200	5.364308189995089e-4	1e-8	1e-8	0.9553613298161804
gene_201	0.190545680793905	1e-8	0.2074293898473468	0.6225740048779989
gene_202	5.029046471191751	1e-8	5.013089717766255	6.07261833371134
gene_203	44.185325848302405	1e-8	44.79164424393325	31.738365439223486
gene_204	0	NA	NA	33.37122715301817
gene_205	0.356908525326291	1e-8	0.3851663387400152	1.1418388082545214
gene_206	0	1e-8	1e-8	33.37122715301817
gene_207	0.11897452472153175	1e-8	0.11888096248015896	8.038102198076922
