gene	glm_gp	DESeq2	DESeq2_glmGamPoi	edgeR
gene_1	3.2274167770226764e-8	1.0638189959096672e-10	3.532010696092034e-8	2.2733365905706274e-8
gene_2	1	NA	NA	1
gene_3	1	NA	NA	1
gene_4	0.525771109041425	0.2150890575898797	0.4638818458549592	0.5107807113869192
gene_5	1	NA	NA	1
gene_6	5.125916894044883e-5	0.0013754348820155127	5.221310748522775e-5	1.799338571701928e-16
gene_7	0.14662992754221957	0.12071580348096637	0.2139593716357628	0.10575180579439544
gene_8	2.0899276303266092e-5	9.330453929894206e-6	2.254802808009053e-5	3.372587132567317e-5
gene_9	0.04655060954221798	8.950156631327109e-6	0.04806343407257649	0.03567079076813703
gene_10	0.6061583894381932	0.6700436065626847	0.6067758939588869	0.6061311274750781
gene_11	0.8826850801758082	0.5487318784867745	0.87479918214974	0.9423105507110237
gene_12	8.421551508705821e-10	4.0209863344410255e-15	7.810230351554298e-10	6.832963984195259e-12
gene_13	0.6061583894381641	0.5906342109370363	0.6124937284808505	0.6061344309055161
gene_14	4.239916897894607e-5	9.612803753543961e-7	4.3596648920132866e-5	2.2721111599608618e-5
gene_15	2.127031833658643e-5	3.645168725996339e-6	2.2285394394173052e-5	1.2753289748929086e-6
gene_16	0.3397683905287784	0.3179646330171747	0.4844169448993947	0.27137930038490243
gene_17	1.0824930763828173e-32	1.9144644748169533e-41	1.6426453258088574e-32	2.7970108822083983e-35
gene_18	0.11954671471491442	1.3864425868667044e-4	0.12034258579739189	0.12031273321365012
gene_19	0.2915689938186939	0.33314885297255015	0.25168815741784656	0.2528311784845051
gene_20	0.003591225009502926	0.0011728518156962782	0.0040852763203627195	6.614060853314902e-4
gene_21	0.017530069656983435	4.7307273819232634e-5	0.01815800037784056	0.014889127238374305
gene_22	0.07562696730791535	1.9523468753725144e-25	0.16004060469013323	0.06302245860687147
gene_23	1	NA	NA	1
gene_24	0.02572654916935408	5.998989346814682e-4	0.027620013654958385	0.023977943069663738
gene_25	2.100548843142098e-7	2.7249157157659537e-9	2.0217868096323592e-7	1.034904055850694e-7
gene_26	0.21847850068289196	2.9552048023442225e-5	0.23423041871684347	0.15192292904725496
gene_27	0.8790436546414485	0.14475130262193392	0.8819982990547335	0.8504108509160373
gene_28	1	NA	NA	1
gene_29	0.15423241437919297	1.148308301287992e-4	0.16286363463348752	0.13212575872465757
gene_30	8.977053300260991e-20	3.171902149554922e-22	8.916194561637318e-20	4.152037947488746e-20
gene_31	0.4871295901366256	0.2802819508260504	0.5285359000725905	0.4870969404472462
gene_32	0.8460442752147822	0.001006576358975783	0.8349400024347642	0.8924973916823326
gene_33	0.9593162035072731	0.23281153546625874	0.9547147096030624	0.9825471184581486
gene_34	8.931722609477788e-5	8.197039618864186e-18	9.448662281376214e-5	4.832172006728814e-5
gene_35	0.59177102177811	0.404914705670918	0.5796727846609828	0.5917560205135063
gene_36	0.2600018967371463	0.2514051140371986	0.27171494861269785	0.2599638824969796
gene_37	1	NA	NA	1
gene_38	1.2300277027044832e-6	6.172125159820076e-7	1.2538082005755183e-6	2.3658189130137153e-6
gene_39	2.546948604516111e-15	3.7363268596400446e-23	3.1107959111053605e-15	7.954996204443436e-17
gene_40	3.731694466936495e-17	4.625084222448936e-18	3.931914235734768e-17	4.896271102037379e-18
gene_41	0.29357160576599206	0.22281849423050082	0.3014335792043846	0.29353499084157986
gene_42	2.523679968150171e-4	3.772502862230987e-8	1.9968668377800695e-4	9.879369663412295e-6
gene_43	0.017595901837133526	0.012158328200069788	0.017577088267728014	0.013572071946762701
gene_44	1	NA	NA	1
gene_45	1	NA	NA	1
gene_46	0.20251044641130828	0.19544735901782329	0.1985409422865653	0.11449988090829909
gene_47	0.4427862528438856	3.4444454282145454e-5	0.4480802928993203	0.3858444812291457
gene_48	1	NA	NA	1
gene_49	0.24192877942283797	0.3113194003036879	0.22584268856770087	0.22618811838845415
gene_50	3.5399848358716536e-16	1.0795273976397359e-17	3.5722277107897773e-16	1.1443989035013583e-16
gene_51	0.25258550511002986	0.3328745958759287	0.25518366854116753	0.2528168287126432
gene_52	0.3316769487947073	1.7051396389068732e-7	0.33270286899867607	0.3097916895535277
gene_53	0.8132494286497975	0.1214183481024187	0.8295938705904186	0.7451215592288729
gene_54	1	NA	NA	1
gene_55	3.7350809965649122e-6	9.592863160945185e-8	3.6917541501912747e-6	1.8924921150787095e-7
gene_56	0.24588090715460786	0.29700977449543786	0.3007746621828661	0.24583319021691963
gene_57	0.8308044664367746	0.1958495485476198	0.8399087929460267	0.8208301248550561
gene_58	1	NA	NA	1
gene_59	3.554022937400786e-20	2.299131234306203e-23	3.336063268189165e-20	4.1067955852247065e-23
