gene	glm_gp	DESeq2	DESeq2_glmGamPoi	edgeR
gene_1	1.0408618394991233e-4	0.2347055871391102	1.081159910946551e-4	8.158929017929542e-5
gene_2	1	NA	NA	1
gene_3	0.5578725152182189	0.7447298866172162	0.5582380249932835	0.5585253585356899
gene_4	0.48483320199825586	0.9242683220235489	0.4675985964978593	0.4848122373842609
gene_5	1.0287002824519218e-31	1.1986545944337941e-37	4.05188968772308e-33	9.518495932775593e-230
gene_6	0.25180831484457844	0.6372533402775827	0.25508692237524727	0.25225092223201984
gene_7	5.969922281329588e-175	1.3147042831111772e-185	7.690295437653688e-180	1.1539645024559658e-132
gene_8	2.6523867368644344e-32	4.7169261152576976e-35	2.474733877108536e-32	1.1139645433078097e-24
gene_9	0.4446811488315058	0.8308520871236437	0.4156424338934671	0.44466003031784085
gene_10	2.6661506867795335e-68	7.675995790937732e-71	2.769492123754694e-68	9.520130688864173e-54
gene_11	7.085201938351981e-4	0.4914244634276655	7.553116523629402e-4	2.7457882407383433e-4
gene_12	1	NA	NA	1
gene_13	1.2357218605375397e-16	8.20039107675033e-18	1.242317622911352e-16	6.5270461482932775e-15
gene_14	0.8896468152675504	0.9485389742645823	0.8889904895044616	0.8694780724105442
gene_15	1.806024211961032e-8	0.0611784501826079	1.8942761773968603e-8	1.4029706614090406e-9
gene_16	1.0300432470460241e-101	1.1974549294551308e-99	7.965828065363887e-102	3.29762197444239e-111
gene_17	5.553070270222639e-10	0.02493868295139697	5.800961493581094e-10	1.6440232000862056e-10
gene_18	0.998804149415141	0.9906980629986804	0.9987574079585959	0.9988890832376867
gene_19	0.15371118892662217	0.4764307693206042	0.14438186803022995	0.14427624475670897
gene_20	5.135108110957234e-48	2.6578157168504988e-48	3.738928137112789e-48	1.2913634090342993e-54
gene_21	1.1717954383071771e-7	0.011764742640057632	1.236073709418575e-7	7.288633649296178e-8
gene_22	5.121734678741612e-13	0.08395278292879967	8.679737990246322e-12	4.972686691262157e-13
gene_23	1.9046506773276334e-7	0.10599615746565541	4.540719291675954e-7	1.8887604211195247e-7
gene_24	7.634253143969395e-225	3.1206054616614393e-229	1.8020396125679025e-226	8.237462292487397e-185
gene_25	0.30043570819799087	0.8376178611970111	0.29937857986559946	0.29896156317301326
gene_26	1	NA	NA	1
gene_27	1	NA	NA	1
gene_28	3.425986931843226e-11	0.002860098003738707	3.748876711884356e-11	8.507333414206183e-12
gene_29	2.2006262167467996e-33	5.332560688572671e-40	2.6850587928916143e-33	4.72126756217837e-37
