gene	glm_gp	DESeq2	DESeq2_glmGamPoi	edgeR
ENSG00000243485	-Inf	NA	NA	-2.302585092994047
ENSG00000237613	-Inf	NA	NA	-2.302585092994047
ENSG00000186092	-Inf	NA	NA	-2.302585092994047
ENSG00000238009	-6.178405049758231	-6.240132572167047	-6.240132572167047	-2.286421447230208
ENSG00000239945	-7.6824824465345065	-7.679392254830292	-7.679392254830292	-2.298748981150219
ENSG00000239906	-Inf	NA	NA	-2.302585092994047
ENSG00000241599	-Inf	NA	NA	-2.302585092994047
ENSG00000279928	-8.375629627094453	-8.500822799072388	-8.500822799072388	-2.300811359355884
ENSG00000279457	-1.8866944072263814	-1.8436056396908718	-1.8436056396908718	-1.5064019182942563
ENSG00000228463	-2.8497936339332512	-2.8634757087851868	-2.8634757087851868	-1.9218823858445697
ENSG00000236743	-Inf	NA	NA	-2.302585092994047
ENSG00000236601	-Inf	NA	NA	-2.302585092994047
ENSG00000237094	-5.89072297730645	-5.81040716696724	-5.81040716696724	-2.2792987059642993
ENSG00000278566	-Inf	NA	NA	-2.302585092994047
ENSG00000230021	-8.37562962709445	-8.555645935629359	-8.555645935629359	-2.3008786722026207
ENSG00000235146	-Inf	NA	NA	-2.302585092994047
ENSG00000273547	-Inf	NA	NA	-2.302585092994047
ENSG00000229905	-7.682482446534505	-7.403065528602342	-7.403065528602342	-2.2979688159737197
ENSG00000237491	-3.6562847384377757	-3.6104092501679337	-3.6104092501679337	-2.1130422314845414
ENSG00000177757	-7.682482446534504	-8.840401983661357	-8.840401983661357	-2.301025346254546
ENSG00000225880	-4.407182334225528	-4.328013592595449	-4.328013592595449	-2.2075009486129127
ENSG00000230368	-3.3836732939322234	-3.3304552378678185	-3.3304552378678185	-2.0607614857702883
ENSG00000272438	-Inf	NA	NA	-2.302585092994047
ENSG00000230699	-7.682482446534505	-7.89425775730282	-7.89425775730282	-2.299307327918236
ENSG00000241180	-Inf	NA	NA	-2.302585092994047
ENSG00000223764	-Inf	NA	NA	-2.302585092994047
ENSG00000187634	-6.989335265974559	-7.2104574252288005	-7.2104574252288005	-2.2961746329038957
ENSG00000188976	-1.7978509088034267	-1.7605552492200363	-1.7605552492200363	-1.4560844955886165
ENSG00000187961	-6.073044534100405	-6.261252329711089	-6.261252329711089	-2.286423798874331
ENSG00000187583	-6.073044534100406	-6.159078301463719	-6.159078301463719	-2.2846915985911105
ENSG00000187642	-Inf	NA	NA	-2.302585092994047
ENSG00000272512	-6.7661917146603505	-6.7394671761540375	-6.7394671761540375	-2.293021881567191
ENSG00000188290	-2.7061618577781688	-3.075322229890969	-3.075322229890969	-1.8944669604407867
ENSG00000187608	-0.8360079914902945	-0.8776371465121002	-0.8776371465121002	-0.8103815647798147
ENSG00000224969	-Inf	NA	NA	-2.302585092994047
ENSG00000188157	-6.296188085414614	-6.160562034027416	-6.160562034027416	-2.2861506365812687
ENSG00000273443	-Inf	NA	NA	-2.302585092994047
ENSG00000237330	-Inf	NA	NA	-2.302585092994047
ENSG00000131591	-4.401028484689365	-4.325078940692284	-4.325078940692284	-2.2050637078268167
ENSG00000223823	-Inf	NA	NA	-2.302585092994047
ENSG00000272141	-Inf	NA	NA	-2.302585092994047
ENSG00000205231	-Inf	NA	NA	-2.302585092994047
ENSG00000162571	-6.4297194780391385	-6.510199122402412	-6.510199122402412	-2.2902203344843537
ENSG00000186891	-3.4451840458817804	-3.490108664871442	-3.490108664871442	-2.0733597299846234
ENSG00000186827	-2.9426429451530014	-2.956942585355558	-2.956942585355558	-1.9474634024840916
ENSG00000078808	-1.4027357645679368	-1.434260090540795	-1.434260090540795	-1.2177524349756206
ENSG00000176022	-3.2635785345793673	-3.294090248977655	-3.294090248977655	-2.0358857816980303
ENSG00000184163	-7.277017338426341	-6.6185379645842985	-6.6185379645842985	-2.294276903016296
ENSG00000260179	-6.989335265974559	-6.690681876106811	-6.690681876106811	-2.2938774940257143
ENSG00000160087	-1.7238253392068197	-1.7374635646631607	-1.7374635646631607	-1.4164600249313044
ENSG00000230415	-6.989335265974559	-7.157984753193469	-7.157984753193469	-2.296008887314193
ENSG00000162572	-5.810680269632914	-5.584403460038723	-5.584403460038723	-2.275645736391281
ENSG00000131584	-2.8423825163318877	-2.827705182656656	-2.827705182656656	-1.9187992103115235
ENSG00000169972	-3.292131974190747	-3.2791701005355067	-3.2791701005355067	-2.0402640800730496
ENSG00000127054	-1.9334352453562218	-1.9736640533857324	-1.9736640533857324	-1.537829084361413
ENSG00000224051	-2.997618214351599	-2.933997960078488	-2.933997960078488	-1.9630759444036092
ENSG00000169962	-7.277017338426341	-7.690815780461496	-7.690815780461496	-2.298409776365768
ENSG00000107404	-5.008333797107976	-5.047356785021029	-5.047356785021029	-2.2506907889953736
ENSG00000162576	-5.542416283038234	-5.511116684267985	-5.511116684267985	-2.2699304630106525
ENSG00000175756	-0.6931314126902237	-0.7194994006357474	-0.7194994006357474	-0.697432801494078
ENSG00000221978	-2.1071386460731842	-2.0141096215786596	-2.0141096215786596	-1.616240608197388
ENSG00000242485	-0.8789806647074458	-0.9042501653490741	-0.9042501653490741	-0.842040403206545
ENSG00000272455	-6.178405049758231	-6.349071623734887	-6.349071623734887	-2.287984996274702
ENSG00000235098	-5.736572297479192	-6.45183655657154	-6.45183655657154	-2.2870688274279813
ENSG00000225905	-Inf	NA	NA	-2.302585092994047
ENSG00000205116	-Inf	NA	NA	-2.302585092994047
ENSG00000225285	-Inf	NA	NA	-2.302585092994047
ENSG00000179403	-Inf	NA	NA	-2.302585092994047
ENSG00000215915	-5.379897353540459	-5.196763595209747	-5.196763595209747	-2.261904231999021
ENSG00000160072	-3.5086528553771497	-3.5255797161726914	-3.5255797161726914	-2.0877847303478543
ENSG00000197785	-3.3860761943051507	-3.415197009402483	-3.415197009402483	-2.064556925133243
ENSG00000205090	-7.682482446534504	-7.9330955782131225	-7.9330955782131225	-2.2994568672393823
ENSG00000160075	-0.4572761838535614	-0.44142420035291685	-0.44142420035291685	-0.4964376879463392
ENSG00000215014	-3.3474750368643913	-3.427583315318116	-3.427583315318116	-2.058110040314564
ENSG00000279244	-Inf	NA	NA	-2.302585092994047
ENSG00000228594	-4.97546602429183	-5.016289028478045	-5.016289028478045	-2.251456785013576
ENSG00000272106	-3.641939774268647	-3.4924283658477324	-3.4924283658477324	-2.1056718583861085
