gene	glm_gp	DESeq2	DESeq2_glmGamPoi	edgeR
ENSG00000243485	0	NA	NA	16.49392672224243
ENSG00000237613	0	NA	NA	16.49392672224243
ENSG00000186092	0	NA	NA	16.49392672224243
ENSG00000238009	0	1e-8	1e-8	15.569521792340609
ENSG00000239945	0	1e-8	1e-8	16.49392672224243
ENSG00000239906	0	NA	NA	16.49392672224243
ENSG00000241599	0	NA	NA	16.49392672224243
ENSG00000279928	749.1980624498669	1e-8	1e-8	16.49392672224243
ENSG00000279457	3.611822609114712e-6	1e-8	1e-8	0.5628063059734248
ENSG00000228463	0.7790415117609591	1e-8	0.7787961154441567	1.0111197324336407
ENSG00000236743	0	NA	NA	16.49392672224243
ENSG00000236601	0	NA	NA	16.49392672224243
ENSG00000237094	0	1e-8	1e-8	14.88888224517682
ENSG00000278566	0	NA	NA	16.49392672224243
ENSG00000230021	439.87964276784345	1e-8	1e-8	16.49392672224243
ENSG00000235146	0	NA	NA	16.49392672224243
ENSG00000273547	0	NA	NA	16.49392672224243
ENSG00000229905	514.84684886335	1e-8	1e-8	16.49392672224243
ENSG00000237491	0.08632285875824075	1e-8	0.0921653488431194	1.8534902839870329
ENSG00000177757	0	1e-8	1e-8	16.49392672224243
ENSG00000225880	0	1e-8	1e-8	4.5373000543473
ENSG00000230368	0.36363531983311664	1e-8	0.37744662127011647	1.427442399660251
ENSG00000272438	0	NA	NA	16.49392672224243
ENSG00000230699	0	1e-8	1e-8	16.49392672224243
ENSG00000241180	0	NA	NA	16.49392672224243
ENSG00000223764	0	NA	NA	16.49392672224243
ENSG00000187634	0	1e-8	1e-8	16.49392672224243
ENSG00000188976	1.0692386470521267e-7	1e-8	1e-8	0.5435978484387308
ENSG00000187961	0	1e-8	1e-8	15.55024910803209
ENSG00000187583	0	1e-8	1e-8	15.45600216631089
ENSG00000187642	0	NA	NA	16.49392672224243
ENSG00000272512	0	1e-8	1e-8	16.011436475617128
ENSG00000188290	15.377453953655314	1e-8	16.206360948656112	1.027200664746352
ENSG00000187608	1.4641152786165976	1.4665191986061104	1.4665061239505526	0.4641598219277165
ENSG00000224969	0	NA	NA	16.49392672224243
ENSG00000188157	0	1e-8	1e-8	15.592507730745751
ENSG00000273443	0	NA	NA	16.49392672224243
ENSG00000237330	0	NA	NA	16.49392672224243
ENSG00000131591	0	1e-8	1e-8	4.4159812612925595
ENSG00000223823	0	NA	NA	16.49392672224243
ENSG00000272141	0	NA	NA	16.49392672224243
ENSG00000205231	0	NA	NA	16.49392672224243
ENSG00000162571	0	1e-8	1e-8	15.810599282953465
ENSG00000186891	18.370439628790912	1e-8	18.430874921812936	1.5279481401240358
ENSG00000186827	9.242002744255789	1e-8	9.247194521852984	1.050247687171328
ENSG00000078808	0.09968311737985519	1e-8	0.10334072068096437	0.49402107229516246
ENSG00000176022	1.3879845672240653e-5	1e-8	1e-8	1.3324333375614086
