job_id	extension_id	method	timing_user	timing_system	timing_elapsed
62569214	6fa46	DESeq2 with glmGamPoi	3642.08	327.585	3193.651
62569214	6fa46	glm_gp	3373.576	212.245	2809.37
62569214	6fa46	glm_gp overdispersion = 0	1557.673	165.543	1724.569
62569214	6fa46	glm_gp on disk	6051.521	335.707	5617.77
62569214	6fa46	edgeR	NA	NA	NA
62569215	44b07	DESeq2 with glmGamPoi	4005.412	511.183	3712.102
62569215	44b07	glm_gp	3429.138	228.942	2875.293
62569215	44b07	glm_gp overdispersion = 0	1609.547	156.705	1767.594
62569215	44b07	glm_gp on disk	6091.617	398.691	5708.651
62569215	44b07	edgeR	NA	NA	NA
62569216	b8e12	DESeq2 with glmGamPoi	3412.061	261.377	2880.928
62569216	b8e12	glm_gp	3397.044	201.792	2821.224
62569216	b8e12	glm_gp overdispersion = 0	1558.062	159.684	1719.211
62569216	b8e12	glm_gp on disk	5954.994	313.22	5500.86
62569216	b8e12	edgeR	NA	NA	NA
62569217	24c7c	DESeq2 with glmGamPoi	3788.378	397.136	3396.293
62569217	24c7c	glm_gp	3441.032	216.835	2875.725
62569217	24c7c	glm_gp overdispersion = 0	1565.811	160.497	1727.704
62569217	24c7c	glm_gp on disk	6054.284	346.757	5630.102
62569217	24c7c	edgeR	NA	NA	NA
62569218	e6025	DESeq2 with glmGamPoi	3600.511	360.346	3166.878
62569218	e6025	glm_gp	3370.07	209.152	2798.243
62569218	e6025	glm_gp overdispersion = 0	1551.415	162.058	1715.016
62569218	e6025	glm_gp on disk	6037.597	337.997	5605.373
62569218	e6025	edgeR	NA	NA	NA
